pd_area = 6.361e-05
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
 310.0      0.13820         2.698e+02
 320.0      0.14370         2.705e+02
 330.0      0.14710         2.709e+02
 340.0      0.14940         2.717e+02
 350.0      0.15070         2.726e+02
 360.0      0.14740         2.735e+02
 370.0      0.14770         2.762e+02
 380.0      0.15870         2.783e+02
 390.0      0.17170         2.799e+02
 400.0      0.18260         2.806e+02
 410.0      0.19180         2.811e+02
 420.0      0.20040         2.817e+02
 430.0      0.20810         2.817e+02
 440.0      0.21560         2.819e+02
 450.0      0.22260         2.821e+02
 460.0      0.22940         2.825e+02
 470.0      0.23600         2.827e+02
 480.0      0.24250         2.826e+02
 490.0      0.24880         2.827e+02
 500.0      0.25500         2.827e+02
 510.0      0.26120         2.825e+02
 520.0      0.26720         2.825e+02
 530.0      0.27320         2.827e+02
 540.0      0.27920         2.826e+02
 550.0      0.28510         2.827e+02
 560.0      0.29100         2.824e+02
 570.0      0.29680         2.827e+02
 580.0      0.30260         2.825e+02
 590.0      0.30830         2.828e+02
 600.0      0.31410         2.830e+02
 610.0      0.31980         2.832e+02
 620.0      0.32540         2.833e+02
 630.0      0.33110         2.835e+02
 640.0      0.33670         2.837e+02
 650.0      0.34230         2.837e+02
 660.0      0.34790         2.839e+02
 670.0      0.35350         2.841e+02
 680.0      0.35900         2.842e+02
 690.0      0.36460         2.845e+02
 700.0      0.37020         2.843e+02
 710.0      0.37570         2.842e+02
 720.0      0.38120         2.845e+02
 730.0      0.38670         2.846e+02
 740.0      0.39220         2.852e+02
 750.0      0.39770         2.851e+02
 760.0      0.40320         2.858e+02
 770.0      0.40870         2.857e+02
 780.0      0.41420         2.858e+02
 790.0      0.41970         2.859e+02
 800.0      0.42520         2.862e+02
 810.0      0.43070         2.864e+02
 820.0      0.43600         2.869e+02
 830.0      0.44150         2.872e+02
 840.0      0.44700         2.871e+02
 850.0      0.45240         2.869e+02
 860.0      0.45780         2.871e+02
 870.0      0.46320         2.878e+02
 880.0      0.46870         2.886e+02
 890.0      0.47400         2.884e+02
 900.0      0.47940         2.883e+02
 910.0      0.48470         2.886e+02
 920.0      0.49000         3.000e+02
 930.0      0.49510         2.944e+02
 940.0      0.49990         2.907e+02
 950.0      0.50390         2.911e+02
 960.0      0.50800         2.896e+02
 970.0      0.50800         2.889e+02
 980.0      0.50800         2.892e+02
 990.0      0.50400         2.868e+02
 1000.0      0.49600         2.846e+02
 1010.0      0.48200         2.813e+02
 1020.0      0.46000         2.773e+02
 1030.0      0.43000         2.720e+02
 1040.0      0.39000         2.656e+02
 1050.0      0.34300         2.578e+02
 1060.0      0.29000         2.422e+02
 1070.0      0.24600         2.449e+02
 1080.0      0.20900         2.416e+02
 1090.0      0.17500         2.372e+02
 1100.1      0.14300         2.476e+02
